fdNum,fdStartDate,fdEndDate
1,2002-11-30,2002-12-07
2,2002-12-08,2002-12-14
3,2002-12-15,2002-12-21
4,2002-12-22,2002-12-28
5,2002-12-29,2003-01-04
6,2003-01-05,2003-01-11
7,2003-01-12,2003-01-18
8,2003-01-19,2003-01-25
9,2003-01-26,2003-02-01
10,2003-02-02,2003-02-08
11,2003-02-09,2003-02-15
12,2003-02-16,2003-02-22
13,2003-02-23,2003-03-01
14,2003-03-02,2003-03-08
15,2003-03-09,2003-03-15
16,2003-03-16,2003-03-22
17,2003-03-23,2003-03-29
18,2003-03-30,2003-04-05
19,2003-04-06,2003-04-12
20,2003-04-13,2003-04-19
21,2003-04-20,2003-04-26
22,2003-04-27,2003-05-03
23,2003-05-04,2003-05-10
24,2003-05-11,2003-05-17
25,2003-05-18,2003-05-24
26,2003-05-25,2003-05-31
27,2003-06-01,2003-06-07
28,2003-06-08,2003-06-14
29,2003-06-15,2003-06-21
30,2003-06-22,2003-06-28
31,2003-06-29,2003-07-05
32,2003-07-06,2003-07-12
33,2003-07-13,2003-07-19
34,2003-07-20,2003-07-26
35,2003-07-27,2003-08-02
36,2003-08-03,2003-08-09
37,2003-08-10,2003-08-16
38,2003-08-17,2003-08-23
39,2003-08-24,2003-08-30
40,2003-08-31,2003-09-06
41,2003-09-07,2003-09-13
42,2003-09-14,2003-09-20
43,2003-09-21,2003-09-27
44,2003-09-28,2003-10-04
45,2003-10-05,2003-10-11
46,2003-10-12,2003-10-18
47,2003-10-19,2003-10-25
48,2003-10-26,2003-11-01
49,2003-11-02,2003-11-08
50,2003-11-09,2003-11-15
51,2003-11-16,2003-11-22
52,2003-11-23,2003-11-29
53,2003-11-30,2003-12-06
54,2003-12-07,2003-12-13
55,2003-12-14,2003-12-20
56,2003-12-21,2003-12-27
57,2003-12-28,2004-01-03
58,2004-01-04,2004-01-10
59,2004-01-11,2004-01-17
60,2004-01-18,2004-01-24
61,2004-01-25,2004-01-31
62,2004-02-01,2004-02-07
63,2004-02-08,2004-02-14
64,2004-02-15,2004-02-21
65,2004-02-22,2004-02-28
66,2004-02-29,2004-03-06
67,2004-03-07,2004-03-13
68,2004-03-14,2004-03-20
69,2004-03-21,2004-03-27
70,2004-03-28,2004-04-03
71,2004-04-04,2004-04-10
72,2004-04-11,2004-04-17
73,2004-04-18,2004-04-24
74,2004-04-25,2004-05-01
75,2004-05-02,2004-05-08
76,2004-05-09,2004-05-15
77,2004-05-16,2004-05-22
78,2004-05-23,2004-05-29
79,2004-05-30,2004-06-05
80,2004-06-06,2004-06-12
81,2004-06-13,2004-06-19
82,2004-06-20,2004-06-26
83,2004-06-27,2004-07-03
84,2004-07-04,2004-07-10
85,2004-07-11,2004-07-17
86,2004-07-18,2004-07-24
87,2004-07-25,2004-07-31
88,2004-08-01,2004-08-07
89,2004-08-08,2004-08-14
90,2004-08-15,2004-08-21
91,2004-08-22,2004-08-28
92,2004-08-29,2004-09-04
93,2004-09-05,2004-09-11
94,2004-09-12,2004-09-18
95,2004-09-19,2004-09-25
96,2004-09-26,2004-10-02
97,2004-10-03,2004-10-09
98,2004-10-10,2004-10-16
99,2004-10-17,2004-10-23
100,2004-10-24,2004-10-30
101,2004-10-31,2004-11-06
102,2004-11-07,2004-11-13
103,2004-11-14,2004-11-20
104,2004-11-21,2004-11-27
105,2004-11-28,2004-12-04
106,2004-12-05,2004-12-11
107,2004-12-12,2004-12-18
108,2004-12-19,2004-12-25
109,2004-12-26,2005-01-01
110,2005-01-02,2005-01-08
111,2005-01-09,2005-01-15
112,2005-01-16,2005-01-22
113,2005-01-23,2005-01-29
114,2005-01-30,2005-02-05
115,2005-02-06,2005-02-12
116,2005-02-13,2005-02-19
117,2005-02-20,2005-02-26
118,2005-02-27,2005-03-05
119,2005-03-06,2005-03-12
120,2005-03-13,2005-03-19
121,2005-03-20,2005-03-26
122,2005-03-27,2005-04-02
123,2005-04-03,2005-04-09
124,2005-04-10,2005-04-16
125,2005-04-17,2005-04-23
126,2005-04-24,2005-04-30
127,2005-05-01,2005-05-07
128,2005-05-08,2005-05-14
129,2005-05-15,2005-05-21
130,2005-05-22,2005-05-28
131,2005-05-29,2005-06-04
132,2005-06-05,2005-06-11
133,2005-06-12,2005-06-18
134,2005-06-19,2005-06-25
135,2005-06-26,2005-07-02
136,2005-07-03,2005-07-09
137,2005-07-10,2005-07-16
138,2005-07-17,2005-07-23
139,2005-07-24,2005-07-30
140,2005-07-31,2005-08-06
141,2005-08-07,2005-08-13
142,2005-08-14,2005-08-20
143,2005-08-21,2005-08-27
144,2005-08-28,2005-09-03
145,2005-09-04,2005-09-10
146,2005-09-11,2005-09-17
147,2005-09-18,2005-09-24
148,2005-09-25,2005-10-01
149,2005-10-02,2005-10-08
150,2005-10-09,2005-10-15
151,2005-10-16,2005-10-22
152,2005-10-23,2005-10-29
153,2005-10-30,2005-11-05
154,2005-11-06,2005-11-12
155,2005-11-13,2005-11-19
156,2005-11-20,2005-11-26
157,2005-11-27,2005-12-03
158,2005-12-04,2005-12-10
159,2005-12-11,2005-12-17
160,2005-12-18,2005-12-24
161,2005-12-25,2005-12-31
162,2006-01-01,2006-01-07
163,2006-01-08,2006-01-14
164,2006-01-15,2006-01-21
165,2006-01-22,2006-01-28
166,2006-01-29,2006-02-04
167,2006-02-05,2006-02-11
168,2006-02-12,2006-02-18
169,2006-02-19,2006-02-25
170,2006-02-26,2006-03-04
171,2006-03-05,2006-03-11
172,2006-03-12,2006-03-18
173,2006-03-19,2006-03-25
174,2006-03-26,2006-04-01
175,2006-04-02,2006-04-08
176,2006-04-09,2006-04-15
177,2006-04-16,2006-04-22
178,2006-04-23,2006-04-29
179,2006-04-30,2006-05-06
180,2006-05-07,2006-05-13
181,2006-05-14,2006-05-20
182,2006-05-21,2006-05-27
183,2006-05-28,2006-06-03
184,2006-06-04,2006-06-10
185,2006-06-11,2006-06-17
186,2006-06-18,2006-06-24
187,2006-06-25,2006-07-01
188,2006-07-02,2006-07-08
189,2006-07-09,2006-07-15
190,2006-07-16,2006-07-22
191,2006-07-23,2006-07-29
192,2006-07-30,2006-08-05
193,2006-08-06,2006-08-12
194,2006-08-13,2006-08-19
195,2006-08-20,2006-08-26
196,2006-08-27,2006-09-02
197,2006-09-03,2006-09-09
198,2006-09-10,2006-09-16
199,2006-09-17,2006-09-23
200,2006-09-24,2006-09-30
201,2006-10-01,2006-10-07
202,2006-10-08,2006-10-14
203,2006-10-15,2006-10-21
204,2006-10-22,2006-10-28
205,2006-10-29,2006-11-04
206,2006-11-05,2006-11-11
207,2006-11-12,2006-11-18
208,2006-11-19,2006-11-25
209,2006-11-26,2006-12-02
210,2006-12-03,2006-12-09
211,2006-12-10,2006-12-16
212,2006-12-17,2006-12-23
213,2006-12-24,2006-12-30
214,2006-12-31,2007-01-06
215,2007-01-07,2007-01-13
216,2007-01-14,2007-01-20
217,2007-01-21,2007-01-27
218,2007-01-28,2007-02-03
219,2007-02-04,2007-02-10
220,2007-02-11,2007-02-17
221,2007-02-18,2007-02-24
222,2007-02-25,2007-03-03
223,2007-03-04,2007-03-10
224,2007-03-11,2007-03-17
225,2007-03-18,2007-03-24
226,2007-03-25,2007-03-31
227,2007-04-01,2007-04-07
228,2007-04-08,2007-04-14
229,2007-04-15,2007-04-21
230,2007-04-22,2007-04-28
231,2007-04-29,2007-05-05
232,2007-05-06,2007-05-12
233,2007-05-13,2007-05-19
234,2007-05-20,2007-05-26
235,2007-05-27,2007-06-02
236,2007-06-03,2007-06-09
237,2007-06-10,2007-06-16
238,2007-06-17,2007-06-23
239,2007-06-24,2007-06-30
240,2007-07-01,2007-07-07
241,2007-07-08,2007-07-14
242,2007-07-15,2007-07-21
243,2007-07-22,2007-07-28
244,2007-07-29,2007-08-04
245,2007-08-05,2007-08-11
246,2007-08-12,2007-08-18
247,2007-08-19,2007-08-25
248,2007-08-26,2007-09-01
249,2007-09-02,2007-09-08
250,2007-09-09,2007-09-15
251,2007-09-16,2007-09-22
252,2007-09-23,2007-09-29
253,2007-09-30,2007-10-06
254,2007-10-07,2007-10-13
255,2007-10-14,2007-10-20
256,2007-10-21,2007-10-27
257,2007-10-28,2007-11-03
258,2007-11-04,2007-11-10
259,2007-11-11,2007-11-17
260,2007-11-18,2007-11-24
261,2007-11-25,2007-12-01
262,2007-12-02,2007-12-08
263,2007-12-09,2007-12-15
264,2007-12-16,2007-12-22
265,2007-12-23,2007-12-29
266,2007-12-30,2008-01-05
267,2008-01-06,2008-01-12
268,2008-01-13,2008-01-19
269,2008-01-20,2008-01-26
270,2008-01-27,2008-02-02
271,2008-02-03,2008-02-09
272,2008-02-10,2008-02-16
273,2008-02-17,2008-02-23
274,2008-02-24,2008-03-01
275,2008-03-02,2008-03-08
276,2008-03-09,2008-03-15
277,2008-03-16,2008-03-22
278,2008-03-23,2008-03-29
279,2008-03-30,2008-04-05
280,2008-04-06,2008-04-12
281,2008-04-13,2008-04-19
282,2008-04-20,2008-04-26
283,2008-04-27,2008-05-03
284,2008-05-04,2008-05-10
285,2008-05-11,2008-05-17
286,2008-05-18,2008-05-24
287,2008-05-25,2008-05-31
288,2008-06-01,2008-06-07
289,2008-06-08,2008-06-14
290,2008-06-15,2008-06-21
291,2008-06-22,2008-06-28
292,2008-06-29,2008-07-05
293,2008-07-06,2008-07-12
294,2008-07-13,2008-07-19
295,2008-07-20,2008-07-26
296,2008-07-27,2008-08-02
297,2008-08-03,2008-08-09
298,2008-08-10,2008-08-16
299,2008-08-17,2008-08-23
300,2008-08-24,2008-08-30
301,2008-08-31,2008-09-06
302,2008-09-07,2008-09-13
303,2008-09-14,2008-09-20
304,2008-09-21,2008-09-27
305,2008-09-28,2008-10-04
306,2008-10-05,2008-10-11
307,2008-10-12,2008-10-18
308,2008-10-19,2008-10-25
309,2008-10-26,2008-11-01
310,2008-11-02,2008-11-08
311,2008-11-09,2008-11-15
312,2008-11-16,2008-11-22
313,2008-11-23,2008-11-29
314,2008-11-30,2008-12-06
315,2008-12-07,2008-12-13
316,2008-12-14,2008-12-20
317,2008-12-21,2008-12-27
318,2008-12-28,2009-01-03
319,2009-01-04,2009-01-10
320,2009-01-11,2009-01-17
321,2009-01-18,2009-01-24
322,2009-01-25,2009-01-31
323,2009-02-01,2009-02-07
324,2009-02-08,2009-02-14
325,2009-02-15,2009-02-21
326,2009-02-22,2009-02-28
327,2009-03-01,2009-03-07
328,2009-03-08,2009-03-14
329,2009-03-15,2009-03-21
330,2009-03-22,2009-03-28
331,2009-03-29,2009-04-04
332,2009-04-05,2009-04-11
333,2009-04-12,2009-04-18
334,2009-04-19,2009-04-25
335,2009-04-26,2009-05-02
336,2009-05-03,2009-05-09
337,2009-05-10,2009-05-16
338,2009-05-17,2009-05-23
339,2009-05-24,2009-05-30
340,2009-05-31,2009-06-06
341,2009-06-07,2009-06-13
342,2009-06-14,2009-06-20
343,2009-06-21,2009-06-27
344,2009-06-28,2009-07-04
345,2009-07-05,2009-07-11
346,2009-07-12,2009-07-18
347,2009-07-19,2009-07-25
348,2009-07-26,2009-08-01
349,2009-08-02,2009-08-08
350,2009-08-09,2009-08-15
351,2009-08-16,2009-08-22
352,2009-08-23,2009-08-29
353,2009-08-30,2009-09-05
354,2009-09-06,2009-09-12
355,2009-09-13,2009-09-19
356,2009-09-20,2009-09-26
357,2009-09-27,2009-10-03
358,2009-10-04,2009-10-10
359,2009-10-11,2009-10-17
360,2009-10-18,2009-10-24
361,2009-10-25,2009-10-31
362,2009-11-01,2009-11-07
363,2009-11-08,2009-11-14
364,2009-11-15,2009-11-21
365,2009-11-22,2009-11-28
366,2009-11-29,2009-12-05
367,2009-12-06,2009-12-12
368,2009-12-13,2009-12-19
369,2009-12-20,2009-12-26
370,2009-12-27,2010-01-02
371,2010-01-03,2010-01-09
372,2010-01-10,2010-01-16
373,2010-01-17,2010-01-23
374,2010-01-24,2010-01-30
375,2010-01-31,2010-02-06
376,2010-02-07,2010-02-13
377,2010-02-14,2010-02-20
378,2010-02-21,2010-02-27
379,2010-02-28,2010-03-06
380,2010-03-07,2010-03-13
381,2010-03-14,2010-03-20
382,2010-03-21,2010-03-27
383,2010-03-28,2010-04-03
384,2010-04-04,2010-04-10
385,2010-04-11,2010-04-17
386,2010-04-18,2010-04-24
387,2010-04-25,2010-05-01
388,2010-05-02,2010-05-08
389,2010-05-09,2010-05-15
390,2010-05-16,2010-05-22
391,2010-05-23,2010-05-29
392,2010-05-30,2010-06-05
393,2010-06-06,2010-06-12
394,2010-06-13,2010-06-19
395,2010-06-20,2010-06-26
396,2010-06-27,2010-07-03
397,2010-07-04,2010-07-10
398,2010-07-11,2010-07-17
399,2010-07-18,2010-07-24
400,2010-07-25,2010-07-31
401,2010-08-01,2010-08-07
402,2010-08-08,2010-08-14
403,2010-08-15,2010-08-21
404,2010-08-22,2010-08-28
405,2010-08-29,2010-09-04
406,2010-09-05,2010-09-11
407,2010-09-12,2010-09-18
408,2010-09-19,2010-09-25
409,2010-09-26,2010-10-02
410,2010-10-03,2010-10-09
411,2010-10-10,2010-10-16
412,2010-10-17,2010-10-23
413,2010-10-24,2010-10-30
414,2010-10-31,2010-11-06
415,2010-11-07,2010-11-13
416,2010-11-14,2010-11-20
417,2010-11-21,2010-11-27
418,2010-11-28,2010-12-04
419,2010-12-05,2010-12-11
420,2010-12-12,2010-12-18
421,2010-12-19,2010-12-25
422,2010-12-26,2011-01-01
423,2011-01-02,2011-01-08
424,2011-01-09,2011-01-15
425,2011-01-16,2011-01-22
426,2011-01-23,2011-01-29
427,2011-01-30,2011-02-05
428,2011-02-06,2011-02-12
429,2011-02-13,2011-02-19
430,2011-02-20,2011-02-26
431,2011-02-27,2011-03-05
432,2011-03-06,2011-03-12
433,2011-03-13,2011-03-19
434,2011-03-20,2011-03-26
435,2011-03-27,2011-04-02
436,2011-04-03,2011-04-09
437,2011-04-10,2011-04-16
438,2011-04-17,2011-04-23
439,2011-04-24,2011-04-30
440,2011-05-01,2011-05-07
441,2011-05-08,2011-05-14
442,2011-05-15,2011-05-21
443,2011-05-22,2011-05-28
444,2011-05-29,2011-06-04
445,2011-06-05,2011-06-11
446,2011-06-12,2011-06-18
447,2011-06-19,2011-06-25
448,2011-06-26,2011-07-02
449,2011-07-03,2011-07-09
450,2011-07-10,2011-07-16
451,2011-07-17,2011-07-23
452,2011-07-24,2011-07-30
453,2011-07-31,2011-08-06
454,2011-08-07,2011-08-13
455,2011-08-14,2011-08-20
456,2011-08-21,2011-08-27
457,2011-08-28,2011-09-03
458,2011-09-04,2011-09-10
459,2011-09-11,2011-09-17
460,2011-09-18,2011-09-24
